Entity,Code,Year,SchoolTime
Australia,AUS,2004,12
Australia,AUS,2005,12.2
Australia,AUS,2006,12.3
Australia,AUS,2007,12.4
Australia,AUS,2008,12.5
Australia,AUS,2011,12.9
Australia,AUS,2012,13.1
Azerbaijan,AZE,1999,11.1
Azerbaijan,AZE,2007,11.3
Azerbaijan,AZE,2008,11.3
Azerbaijan,AZE,2009,11.2
Azerbaijan,AZE,2013,10.9
Azerbaijan,AZE,2014,10.9
Uruguay,URY,2006,7.8
Uruguay,URY,2008,8.1
Uruguay,URY,2009,8.1
Uruguay,URY,2010,8.1
Uruguay,URY,2011,8.1
Uruguay,URY,2012,8.2
Uruguay,URY,2013,8.2
Uruguay,URY,2014,8.3
Venezuela,VEN,2006,7.5
Venezuela,VEN,2007,7.9
Venezuela,VEN,2008,8
Venezuela,VEN,2009,8.1
Venezuela,VEN,2011,9
