Entity,Code,Year,GDP
Afghanistan,AFG,1971,1.16035997867584
Afghanistan,AFG,1972,1.11717998981476
Afghanistan,AFG,1973,1.42788004875183
Afghanistan,AFG,1975,1.30332005023956
Afghanistan,AFG,1979,1.7398099899292
Afghanistan,AFG,1980,1.84092998504639
Afghanistan,AFG,1981,1.90917003154755
Afghanistan,AFG,1982,1.72997999191284
Afghanistan,AFG,2010,3.4794499874115
Afghanistan,AFG,2011,3.4620099067688
Afghanistan,AFG,2012,2.60419988632202
Afghanistan,AFG,2013,3.45445990562439
Afghanistan,AFG,2014,3.69521999359131
Afghanistan,AFG,2015,3.2558000087738
Afghanistan,AFG,2016,4.22836017608643
Afghanistan,AFG,2017,4.0588698387146
Africa Eastern and Southern,,1985,4.09021997451782
Africa Eastern and Southern,,1999,4.78669977188111
Africa Eastern and Southern,,2000,3.98310995101929
Africa Eastern and Southern,,2001,4.67360997200012
Africa Eastern and Southern,,2004,3.74496006965637
Africa Eastern and Southern,,2005,4.01986980438232
Africa Eastern and Southern,,2006,3.88306999206543
Africa Eastern and Southern,,2008,4.52595520019531
Africa Eastern and Southern,,2010,4.51914501190186
Africa Eastern and Southern,,2013,4.61024498939514
Africa Eastern and Southern,,2014,4.60201978683472
Africa Eastern and Southern,,2015,4.68111991882324
Africa Eastern and Southern,,2016,4.21995997428894
Africa Eastern and Southern,,2017,4.76202011108398
Africa Eastern and Southern,,2018,4.83458995819092
Africa Western and Central,,1999,2.53709006309509
Africa Western and Central,,2000,2.59340000152588
Africa Western and Central,,2001,2.42614006996155
Africa Western and Central,,2002,2.63659501075744
Africa Western and Central,,2003,2.77210998535156
Africa Western and Central,,2004,2.79026997089386
Africa Western and Central,,2005,2.84207499027252
Africa Western and Central,,2006,2.74145007133484
Africa Western and Central,,2007,3.05265498161316
Africa Western and Central,,2008,2.74129009246826
Africa Western and Central,,2009,3.10942006111145
Africa Western and Central,,2010,3.07808995246887
Africa Western and Central,,2011,2.87711489200592
Africa Western and Central,,2012,3.01340007781982
Africa Western and Central,,2013,3.02971005439758
Africa Western and Central,,2014,3.6480700969696
Africa Western and Central,,2015,3.73579502105713
Africa Western and Central,,2016,3.02533996105194
Africa Western and Central,,2017,3.70264494419098
Africa Western and Central,,2018,3.51104998588562
Albania,ALB,1994,3.44697999954224
Albania,ALB,1995,3.81464004516602
Albania,ALB,1996,3.08350992202759
Albania,ALB,1997,3.37947010993958
Albania,ALB,1998,3.53697991371155
Albania,ALB,1999,3.59293007850647
Albania,ALB,2000,3.4301700592041
Albania,ALB,2001,3.45869994163513
Albania,ALB,2002,3.11779999732971
Albania,ALB,2003,3.13824009895325
Albania,ALB,2004,3.22751998901367
Albania,ALB,2005,3.28154993057251
Albania,ALB,2006,3.1914598941803
Albania,ALB,2007,3.27592992782593
Albania,ALB,2013,3.53929996490479
Albania,ALB,2015,3.43796992301941
Albania,ALB,2016,3.96209001541138
Albania,ALB,2017,3.61172008514404
Andorra,AND,1997,3.71327996253967
Andorra,AND,2002,1.65971004962921
Andorra,AND,2004,1.54411995410919
Andorra,AND,2005,1.64497005939484
Andorra,AND,2006,2.24489998817444
Andorra,AND,2007,2.10469007492065
Andorra,AND,2008,2.87392997741699
Andorra,AND,2009,3.14292001724243
Andorra,AND,2010,2.97662997245789
Andorra,AND,2011,2.98706007003784
Andorra,AND,2013,2.50616002082825
Andorra,AND,2014,3.07420992851257
Andorra,AND,2015,3.28034996986389
Andorra,AND,2016,3.23707008361816
Andorra,AND,2017,3.21708989143372
Andorra,AND,2018,3.2467200756073
Andorra,AND,2019,3.15161991119385
Angola,AGO,1985,4.09021997451782
Angola,AGO,1986,5.72269010543823
Angola,AGO,1987,5.05850982666016
Angola,AGO,1998,2.56712007522583
Angola,AGO,2000,2.60753011703491
Angola,AGO,2005,2.12011003494263
Angola,AGO,2006,2.28146004676819
Angola,AGO,2010,3.42131996154785
